id,title,original_title,language,overview,genres,keywords,cast,director,release_date,runtime,popularity,vote_average,vote_count,budget,revenue,production_companies,production_countries,spoken_languages,poster_path,tagline,adult
1093134,Secret Home,Secret Home,ml,"The lives of four protagonists get entangled in a gruesome incident, involving a typical home with 'uncomfortable' secrets. As aftermaths unfold, their grey shades get exposed.","['Crime', 'Drama']",[],"['Sshivada Nair', 'Chandhunadh', 'Aparna Das', 'Anu Mohan', 'Maala Parvathi', 'Appunni Sasi', 'Dineesh P', 'Thankam Mohan', 'Jithin Judy Kuriakose', 'Renjit Shekar']",Abhayakumar,2024-03-22,117,0.1922,0.0,0,0,0,['WOW Cinemas'],['India'],['Malayalam'],/zoOFYaFqPjiS1Kru298y32e3SqL.jpg,Every Home Has Secrets,False
1315939,Dust Art Redrawn in Respiration,മായുന്നു മാറിവരയുന്നു നിശ്വാസങ്ങളിൽ,ml,"Maayunnu, Maarivarayunnu, Nisvaasangalil... or ""Dust Art Redrawn in Respiration"" is about s documentary crew arriving to document the life of two couples. In their conversations the couples tries to trivilize the man's 'concerns' and express their views on social life, individual freedom, borderlines in relations, power in relations etc. among other things. As the interaction progresses, a controlling voice, and then a commanding presence which determine how they should be presented and heard are revealed.",['Drama'],[],"['Pradeep Kumar', 'Surya S', 'Gautami Kaur', 'Kenshin', 'Aromal S', 'EP Anilkumar', 'Abhilash Babu', 'Sherin Catherine']",Abhilash Babu,2024-12-15,134,0.12,0.0,0,0,0,[],['India'],"['English', 'Malayalam']",/4bMMYiiF97BuNqBbTGN9JbVqSho.jpg,Dust Art Redrawn in Respiration,False
1396331,Agolathapanavum Athmahathyayum - Chapter 1: Aipose Puranam,ആഗോളതാപനവും ആത്മഹത്യയും - സ്കന്ധം 1: ഐപോസ് പുരാണം,ml,First chapter in the chronicles of a 231-year-old vampire in his journey with his fellow vampires.,"['Comedy', 'Documentary']","['vampire', 'mockumentary']","['Renjith Murali', 'Nikhil Madhu', 'M S Abhiram', 'Aswin Krishna', 'Sebastian Jose', 'Tanishq Nambiar']",Khasi,2024-12-03,26,0.1136,0.0,0,0,0,"['SHOW BRIDGE', 'Vagabonds Parallel Culture']",['India'],['Malayalam'],/wHEQEK38WtrYIA3yVHkcrT5mpuI.jpg,The Vampire Chronicles,False
1609529,Poovu,പൂവ്,ml,"Travelling with four women who influenced him most in life - mother, wife, daughter and the first lover is fifty year old Jeevan. And time and seasons and places entwine hands with Jeevan on this journey. Just as he had desired.",['Drama'],[],"['Manjulan', 'K.P.A.C Leela', 'Shanthi Rao', 'Meenakshi Anoop', 'Sruthi Vipin']",Anish Babu Abbas,2024-01-20,81,0.1213,5.0,1,0,0,['Pinks Visual Space'],['India'],['Malayalam'],/a9fOfuoKSgSBFbUxBfPSug4reYZ.jpg,Traveling with the women in Jeevan's life.,False
1388901,Manas,മനസ്സ്,ml,"MANAS is a 2024 Indian Malayalam film, directed by Babu Thiruvalla and produced by Babu Thiruvalla and Lee Philip. The film stars Sheelu Abraham, Ashokan, Manoj k Jayan, Karthik shankar in the lead roles.",['Drama'],[],"['Manoj K Jayan', 'Ashokan', 'Sheelu Abraham', 'Krittika Pradeep', 'Kaarthik Shankar', 'Puthillam Bhasi']",Babu Thiruvalla,2024-02-16,97,0.1738,4.0,1,0,0,[],['India'],['Malayalam'],/xgG90PeE67QCDkcYuWEW4whxiQM.jpg,The Mind,False
1574115,Syllable on the ending,Syllable on the ending,ml,"Captured during the early days of production, this unreleased film offers a glimpse into its rehearsal sessions — an intimate icebreaking moment where the cast come together through song and rhythmic clapping.",['Documentary'],"['behind the scenes', 'rehearsal', 'independent film', 'documentary short', 'icebreaking session', 'unreleased film', 'creative collaboration', 'film rehearsal', 'creative energy']","['Pranav Unni', 'Sreekala Santhosh', 'Akash Suresh', 'Hemanth C L', 'Rithika Krishna', 'Ananth Gejo']",Jayakrishnan M S,2024-12-30,6,0.1172,0.0,0,0,0,['No'],['India'],['Malayalam'],/kRzLarzVW4Z11oFcUvBovoseek4.jpg,the rhythm brings,False
1419421,Narrator,Narrator,ml,A Lonely Teenager decides to take a psychological challenge which may lead to the dark past which he is unaware of.,"['Thriller', 'Comedy', 'Drama']","['dystopia', 'psychology', 'dark comedy', 'online dating', 'lonely man', 'malayalam', 'omegle', 'mass', 'awestruck', 'malayalamshortfilm', 'literally me']","['Fahad Sudheer', 'Suryanarayanan Pradeep', 'Pranav Krishnan', 'Amith Sulfi', 'Akash A S', 'Abhiram Panicker', 'S Goutham Nair', 'Abhinav A M', 'Fahad Shaheer', 'Manu Mohan']",Fahad Sudheer,2024-12-28,66,0.1234,0.0,0,15,50,['FadGuy'],['India'],['Malayalam'],/q1Od6QI6ORwPfrsbDCfV8JyFDzY.jpg,IS IT WHAT IT IS ?,False
1258938,ENIGMA - shattered reality,ENIGMA - shattered reality,ml,"A student with a pretty boring life meets with a accident which changes his next 24 hours into doing things which he thought he would never do, will he try to interpret the enigma or go with the flow of the enigma?","['Thriller', 'Drama']","['enigma', 'shattered reality', 'fleming christy']","['Fleming christy', 'Kiran Boby', 'Varun Suresh', 'Ashil Timothy', 'Abhiram Krishnaprasad']",Fleming christy,2024-03-13,5,0.0814,10.0,1,0,0,['FC productions'],['India'],"['English', 'Malayalam', 'Tamil']",/sTrkvsX5UQlQZmiFBVM6sdlsQ8h.jpg,NOT EVERYTHING HAS AN UNDERLYING MEANING.,False
1243553,Sasneham Suhra,സസ്നേഹം സുഹ്‌റ,ml,A girl elopes from her conservative family to explore the world outside.,"['Drama', 'Music']",[],"['Ritika', 'Shabeer']",Sreehari Gadha,2024-04-12,8,0.0143,0.0,0,0,0,['Cinema Firdaus Productions'],[],['Malayalam'],/s1xCTuoBC9NA6Gl29YRXfkRLEs7.jpg,"WITH LOVE, SUHRA",False
1286425,Abyss of want,Abyss of want,ml,"In a desperate bid to survive, a struggling mother finds herself facing an impossible choice. With no other options, she contemplates stealing money from her 5-year-old son, a gift from someone who entrusted it for his own use.""",['Drama'],"['short film', 'independent film', 'drama']","['Raihanath Bava', 'Aaqib']",Ibrahim,2024-05-08,4,0.0363,0.0,0,0,0,['24framespersecondproductions'],['India'],['Malayalam'],/8oHOyhlcXVsapt0ClLZw95cIFoF.jpg,Desperation Meets Destiny.,False
