prediction_task,Structured + text,Structured only,r2_improvement
Popularity Prediction,-0.14025504531186161,0.05339103209937346,-0.19364607741123507
Rating Prediction,0.8173133069441488,0.8263543140490621,-0.00904100710491329
Revenue Prediction,0.9993505193058693,0.999418398293264,-6.787898739468723e-05
