model,target_variable,n_train,n_test,rmse,mae,r2
SVR,popularity,2289,764,2.710733154990336,0.3336721630615556,0.03518411585773462
Gradient Boosting,popularity,2289,764,2.8085974636086863,0.3456506245824615,-0.03573799478015949
Linear Regression,popularity,2289,764,2.8087314370481393,0.6998358895012037,-0.03583680900531783
Random Forest,popularity,2289,764,2.8572945440384108,0.35058938167539266,-0.07196580854333745
Neural Net,popularity,2289,764,2.859018193079342,0.616085179548266,-0.07325951496049621
