language,number_of_movies,average_popularity,average_rating,average_revenue,median_revenue
hi,1400,0.8251500714285714,4.890900714285714,3545613.1314285714,0.0
te,429,0.5077027972027972,4.245750582750582,2743731.034965035,0.0
ta,514,0.47084357976653696,3.8689513618677043,1449049.2509727627,0.0
ml,510,0.434148431372549,4.219221568627451,541151.4215686275,0.0
kn,200,0.2863915,3.4702800000000003,1025923.79,0.0
