cluster,number_of_movies,average_popularity,average_rating,average_revenue,median_revenue,average_budget,average_runtime,average_vote_count,dominant_genre,dominant_language,popularity_index,rating_index,revenue_index,segment_label
0,628,0.5465423566878981,4.9399283439490445,41674.729299363054,0.0,190724.56528662422,124.77229299363057,17.09235668789809,Action,hi,26.48033567203736,71.2585102786678,63.48916364986756,Critically Acclaimed
1,1054,0.6139481024667932,5.649767552182163,92757.46679316887,0.0,75551.17267552183,135.28937381404174,16.529411764705884,Drama,hi,30.35706283950513,86.21367381684826,68.264306465564,Critically Acclaimed
2,61,0.08612131147540984,1.9237540983606558,0.0,0.0,770.4098360655738,47.57377049180328,1.2950819672131149,Documentary,hi,0.0,7.712599346668758,0.0,Low-visibility
3,358,1.824849441340782,6.304128491620112,18908121.013966482,8869378.5,7253357.432960894,149.97206703910615,137.25977653631284,Action,hi,100.00000000000001,100.0,100.0,Commercial Hits
4,727,0.18267689133425033,1.5576795048143053,2432.576341127923,0.0,322633.8060522696,59.852819807427785,0.6189821182943603,Drama,hi,5.553230444734144,0.0,46.535778427593456,Balanced Performers
5,182,0.43145164835164834,3.989230769230769,249821.05494505496,0.0,774471.0824175824,100.00549450549451,14.401098901098901,Horror,hi,19.861088743239982,51.22885068765507,74.1774300823517,Balanced Performers
6,43,0.779360465116279,4.961813953488372,9921417.627906976,0.0,5434642.953488372,112.20930232558139,59.16279069767442,Science Fiction,hi,39.87047438489109,71.71960465891216,96.1510491356171,Balanced Performers
