model,target_variable,accuracy,precision,recall,f1,auc
Gradient Boosting,high_rating,0.7879581151832461,0.7484076433121019,0.7389937106918238,0.7436708860759493,0.8738824491637759
Random Forest,high_rating,0.7578534031413613,0.7285223367697594,0.6666666666666666,0.6962233169129721,0.8554798770341541
Logistic Regression,high_rating,0.7356020942408377,0.6959459459459459,0.6477987421383647,0.6710097719869706,0.7943142397833997
