model,target_variable,n_train,n_test,rmse_log_revenue,mae_log_revenue,r2_log_revenue,rmse_usd,rmse_usd_millions,mae_usd,mae_usd_millions
Random Forest,log_revenue,317,106,1.7952758536288698,1.108382761604725,0.779767980824234,19405805.672810327,19.405805672810327,9833142.907228943,9.833142907228943
XGBoost,log_revenue,317,106,1.8876672896640347,1.2246316954879843,0.7565168107469821,23342179.190075718,23.34217919007572,11003745.171360983,11.003745171360983
Gradient Boosting,log_revenue,317,106,1.7544920700494804,1.174405599463933,0.7896604693564271,24631337.681150608,24.631337681150608,11522226.283174507,11.522226283174508
Linear Regression,log_revenue,317,106,5.460057651816194,4.238131597130665,-1.0371008874134255,1887922528445.4692,1887922.5284454692,191683262297.82138,191683.26229782138
