genre,language,number_of_movies,average_popularity,average_rating,average_revenue,median_revenue
Family,hi,69,1.634759420289855,4.730985507246377,1604564.2028985508,0.0
Science Fiction,hi,13,1.3596000000000001,3.8595384615384614,13063976.076923076,0.0
Action,hi,296,1.290403716216216,5.447317567567567,6464676.695945946,0.0
Crime,hi,213,1.2432319248826291,5.335629107981221,4223912.549295775,0.0
War,hi,20,1.2196799999999999,5.8546,1185743.6,0.0
Adventure,kn,8,1.1797,5.868125,11301343.625,0.0
History,hi,51,1.1636705882352942,6.35578431372549,9644954.215686275,0.0
Comedy,hi,318,1.135195597484277,5.4187955974842765,6023498.386792453,0.0
Romance,hi,340,1.1133661764705882,5.314758823529412,6289078.102941177,0.0
Adventure,hi,50,1.0031860000000001,5.652480000000001,10208897.26,0.0
Fantasy,hi,33,0.9851515151515151,4.6625151515151515,4035595.0303030303,0.0
Thriller,hi,379,0.9841583113456464,5.147395778364117,3448173.8337730872,0.0
Adventure,te,16,0.91949375,4.2621875,10742809.125,0.0
Science Fiction,te,10,0.85922,5.2479,14100000.0,0.0
Action,te,131,0.8588328244274809,4.815954198473283,7106231.251908397,0.0
Drama,hi,843,0.8551329774614472,5.104283511269276,3921123.0260972716,0.0
Adventure,ta,16,0.8347625,4.6444375,6793750.0,0.0
Action,ml,75,0.76064,4.57,1977604.8933333333,0.0
History,te,12,0.75785,5.168,1324133.3333333333,0.0
History,ta,11,0.7360818181818182,5.810181818181818,9445454.545454545,0.0
Action,ta,143,0.6336202797202797,4.727937062937063,4702453.363636363,0.0
Drama,te,201,0.6095786069651742,4.478840796019901,5064657.457711442,0.0
War,ta,6,0.6078833333333333,3.487,22500.0,0.0
Music,hi,47,0.6069382978723404,5.55295744680851,6955239.14893617,0.0
Fantasy,te,31,0.5960903225806452,3.4828709677419356,5175806.483870967,0.0
Crime,ta,82,0.5874621951219512,4.351695121951219,3200868.3536585364,0.0
Horror,ml,20,0.569205,4.1472999999999995,890000.0,0.0
Crime,te,52,0.5661923076923077,4.460788461538462,6230862.461538462,0.0
Adventure,ml,22,0.5596590909090909,5.749363636363636,5996659.545454546,0.0
Comedy,ml,127,0.5562425196850393,4.357606299212599,377252.6850393701,0.0
Romance,ta,86,0.5490674418604651,4.402755813953489,625540.3023255814,0.0
Horror,hi,99,0.5460868686868687,4.1923535353535355,1358136.6767676768,0.0
History,ml,7,0.537042857142857,4.6000000000000005,1666200.857142857,0.0
Action,kn,40,0.5286225,3.6955,3958963.725,0.0
Comedy,ta,99,0.5247,4.792080808080808,795173.191919192,0.0
Crime,ml,67,0.5197671641791044,4.918089552238806,476731.3432835821,0.0
Romance,te,123,0.5102837398373984,4.821813008130081,1868375.943089431,0.0
Science Fiction,ta,11,0.5075454545454545,6.355,10526288.090909092,0.0
Drama,ta,276,0.5045086956521738,4.0485579710144926,887286.4710144928,0.0
Fantasy,ta,20,0.49454000000000004,3.3314999999999997,6325563.45,0.0
Thriller,ta,159,0.49201509433962265,4.297327044025157,2441552.2264150945,0.0
Comedy,te,117,0.4910042735042735,4.956777777777778,2185218.230769231,0.0
Mystery,hi,83,0.48493253012048193,4.46989156626506,1510369.8795180724,0.0
Drama,ml,266,0.48300639097744363,4.350894736842105,409900.4736842105,0.0
Thriller,ml,152,0.47637828947368416,4.696125,928267.4605263158,0.0
Family,te,45,0.47064,4.252977777777778,4535398.288888888,0.0
Mystery,ml,44,0.46935681818181824,5.140409090909091,383215.6818181818,0.0
Crime,kn,26,0.4653076923076923,5.423346153846154,3988875.346153846,0.0
Music,te,6,0.4633333333333333,3.8166666666666664,51983.333333333336,0.0
Thriller,te,107,0.46054205607476634,4.0161588785046725,2723096.6728971964,0.0
Romance,ml,67,0.43849402985074626,4.219402985074627,299131.8656716418,0.0
Horror,ta,40,0.43760750000000004,4.8271,312500.0,0.0
Thriller,kn,46,0.41826956521739134,4.276695652173913,4057794.7608695654,0.0
Romance,kn,37,0.3936783783783784,3.9997567567567565,1079291.8378378379,0.0
Family,ml,34,0.37561764705882356,4.918588235294117,629117.6470588235,0.0
Fantasy,ml,13,0.35873076923076924,3.9193076923076924,2710468.769230769,0.0
Family,ta,24,0.3489791666666667,4.310791666666667,5208.333333333333,0.0
Mystery,te,14,0.34113571428571426,3.741428571428571,764060.3571428572,0.0
Comedy,kn,35,0.33534285714285716,3.5406285714285715,84354.28571428571,0.0
Music,ta,12,0.2911333333333333,1.6715,666.6666666666666,0.0
Mystery,ta,34,0.2867264705882353,3.5490882352941178,709058.8235294118,0.0
Drama,kn,113,0.2823230088495575,3.593079646017699,607469.0176991151,0.0
Science Fiction,ml,5,0.27948,4.62,20.0,0.0
TV Movie,hi,7,0.2653857142857143,7.5,71815.42857142857,0.0
Animation,hi,17,0.25981176470588235,5.902588235294117,2117647.0588235296,0.0
Horror,te,24,0.25843333333333335,3.0083333333333333,12995.875,0.0
Music,ml,12,0.24349166666666666,3.4135833333333334,43575.833333333336,0.0
Family,kn,30,0.2290866666666667,4.39,36413.333333333336,0.0
Fantasy,kn,13,0.22743846153846153,1.9923076923076921,0.07692307692307693,0.0
Unknown,hi,57,0.21726666666666666,2.702771929824561,210.52631578947367,0.0
Unknown,te,15,0.21266000000000002,3.18,0.0,0.0
Mystery,kn,15,0.17503333333333335,4.579666666666666,8160.666666666667,0.0
Unknown,kn,24,0.15664583333333335,0.7208333333333333,0.0,0.0
Unknown,ta,23,0.1558,0.5652173913043478,0.0,0.0
Horror,kn,11,0.13384545454545455,2.727272727272727,0.0,0.0
Unknown,ml,21,0.12321904761904763,1.9428571428571426,0.0,0.0
Documentary,ml,10,0.09397,1.6216000000000002,0.0,0.0
Documentary,hi,39,0.07435897435897436,2.0546923076923074,0.0,0.0
Documentary,ta,7,0.030685714285714285,1.0,0.0,0.0
