genre,number_of_movies,average_popularity,average_rating,average_revenue,median_revenue
War,32,1.013825,5.617,1244164.9375,0.0
Action,685,0.9682732846715328,4.978045255474452,5581883.712408759,0.0
History,84,0.9643964285714285,5.955630952380953,7420781.797619048,0.0
Adventure,112,0.89265625,5.344294642857143,9047920.25,0.0
Crime,440,0.8848743181818182,4.990472727272727,3685957.2386363638,0.0
Romance,653,0.8154278713629404,4.914898928024503,3800718.062787136,0.0
Family,202,0.801961881188119,4.555509900990099,1670372.5396039605,0.0
Comedy,696,0.7942022988505748,4.963899425287356,3305644.622126437,0.0
Science Fiction,43,0.779360465116279,4.961813953488372,9921417.627906976,0.0
Thriller,843,0.7024368920521946,4.714597864768683,2745185.34282325,0.0
Drama,1699,0.672765744555621,4.640327251324308,2793449.94173043,0.0
Fantasy,110,0.6227254545454545,3.6846636363636365,4139745.463636364,0.0
Music,78,0.48721025641025645,4.421923076923077,4201782.692307692,0.0
Horror,194,0.4671427835051546,4.089036082474227,850863.0515463918,0.0
Mystery,190,0.41079578947368417,4.415384210526316,932365.5,0.0
TV Movie,7,0.2653857142857143,7.5,71815.42857142857,0.0
Western,2,0.24885,3.45,0.0,0.0
Animation,24,0.2395375,5.031,1500004.1666666667,0.0
Unknown,140,0.18217571428571427,1.9489857142857143,85.71428571428571,0.0
Documentary,61,0.08612131147540984,1.9237540983606558,0.0,0.0
